CONVOCATORIA,SEMESTRE DE CONVOCATORIA,BENEFICIO OTORGADO,DEPARTAMENTO DE NACIMIENTO,MUNICIPIO DE NACIMIENTO,FECHA DE NACIMIENTO,GÉNERO,SUBREGIÓN DE RESIDENCIA,MUNICIPIO DE RESIDENCIA,ESTRATO,GRUPO ETNICO,VICTIMA DEL CONFLICTO ARMADO,UNIVERSIDAD,PROGRAMA CURSADO,MUNICIPIO OFERTA,TIPO DE FORMACIÓN,GRADUADO
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,SAN FRANCISCO,06/22/1996 12:00:00 AM,FEMENINO,ORIENTE,SAN LUIS,ESTRATO 1,NINGUNO,1,COREDI,TECNOLOGIA EN PRODUCCION AGROECOLOGICA,MARINILLA,TECNOLOGICA,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,CONCEPCION,11/19/1997 12:00:00 AM,FEMENINO,ORIENTE,CONCEPCION,ESTRATO 1,NINGUNO,1,COREDI,TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES,MARINILLA,TECNICA PROFESIONAL,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,SAN LUIS,03/04/1979 12:00:00 AM,FEMENINO,ORIENTE,SAN LUIS,ESTRATO 2,NINGUNO,1,COREDI,TECNOLOGIA EN PRODUCCION AGROECOLOGICA,MARINILLA,TECNOLOGICA,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,SANTA BARBARA,08/11/1998 12:00:00 AM,FEMENINO,SUROESTE,SANTA BARBARA,ESTRATO 2,NINGUNO,0,TECNOLOGICO DE ANTIOQUIA,LICENCIATURA EN EDUCACION PREESCOLAR,LA PINTADA,UNIVERSITARIA,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,CONCORDIA,08/05/1996 12:00:00 AM,FEMENINO,SUROESTE,TARSO,ESTRATO 2,NINGUNO,0,TECNOLOGICO DE ANTIOQUIA,LICENCIATURA EN EDUCACION PREESCOLAR,LA PINTADA,UNIVERSITARIA,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,VALLE DEL CAUCA,CARTAGO,06/01/1997 12:00:00 AM,FEMENINO,SUROESTE,TAMESIS,ESTRATO 2,NINGUNO,0,TECNOLOGICO DE ANTIOQUIA,LICENCIATURA EN EDUCACION PREESCOLAR,LA PINTADA,UNIVERSITARIA,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,VALLE DEL CAUCA,CARTAGO,06/19/1994 12:00:00 AM,FEMENINO,SUROESTE,TAMESIS,ESTRATO 1,NINGUNO,0,TECNOLOGICO DE ANTIOQUIA,LICENCIATURA EN EDUCACION PREESCOLAR,LA PINTADA,UNIVERSITARIA,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,SANTA BARBARA,05/01/1991 12:00:00 AM,MASCULINO,SUROESTE,SANTA BARBARA,ESTRATO 2,NINGUNO,0,TECNOLOGICO DE ANTIOQUIA,LICENCIATURA EN EDUCACION PREESCOLAR,LA PINTADA,UNIVERSITARIA,1
2016,1,SOSTENIMIENTO,ANTIOQUIA,CAUCASIA,12/12/1996 12:00:00 AM,MASCULINO,BAJO CAUCA,CAUCASIA,ESTRATO 1,NINGUNO,0,SENA,TECNOLOGIA EN FORMULACION DE PROYECTOS,CAUCASIA,TECNOLOGICA,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,BOGOTA,"BOGOTA, D.C.",01/06/1999 12:00:00 AM,MASCULINO,ORIENTE,NARIÑO,ESTRATO 1,NINGUNO,1,UNIVERSIDAD CATOLICA DE ORIENTE,INGENIERIA AMBIENTAL,RIONEGRO,UNIVERSITARIA,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,GOMEZ PLATA,12/13/1996 12:00:00 AM,MASCULINO,NORTE,GUADALUPE,ESTRATO 2,NINGUNO,0,INSTITUCION UNIVERSITARIA PASCUAL BRAVO,TECNICO PROFESIONAL EN REDES ELECTRICAS DE DISTRIBUCION DE ENERGIA,ITUANGO,TECNICA PROFESIONAL,1
